,id,open,close,low,high,amount,vol,count
206,2018-01-14 00:00:00,52.92,47.77,46.89,56.0,290876.091372101,15104210.212866073,15794.0
207,2018-01-13 00:00:00,47.6,52.92,47.08,56.5,402602.48309705686,21063783.137852848,20441.0
208,2018-01-12 00:00:00,49.23,47.58,43.46,51.6,395306.39017034625,19025653.30244884,20548.0
209,2018-01-11 00:00:00,52.2,49.24,42.11,53.0,378993.94336059195,18300661.08963538,19323.0
210,2018-01-10 00:00:00,53.74,52.04,48.02,56.5,312628.7376200249,16459001.352060758,17869.0
211,2018-01-09 00:00:00,51.08,53.81,50.5,57.6,425864.05998384336,23243272.122702986,22666.0
212,2018-01-08 00:00:00,61.95,50.98,45.59,62.99,463503.2421987262,25660254.211734347,25185.0
213,2018-01-07 00:00:00,55.7,61.95,51.99,79.0,818843.9002838574,54021168.00420066,54949.0
214,2018-01-06 00:00:00,51.81,55.7,45.01,56.32,540576.7368983858,26842572.59526324,23327.0
215,2018-01-05 00:00:00,48.82,51.8,45.32,59.98,503623.88078574603,26585739.851825885,30843.0
216,2018-01-04 00:00:00,52.33,48.82,47.5,52.9,236048.24517208326,11781547.970527323,21539.0
217,2018-01-03 00:00:00,53.07,52.37,49.29,54.26,206775.5918541541,10812729.54644753,19111.0
218,2018-01-02 00:00:00,51.28,53.08,50.21,54.75,554090.6139716388,28904480.622784406,42673.0
219,2018-01-01 00:00:00,50.75,51.3,48.56,56.1,523735.2238267087,27436415.10187613,18912.0
220,2017-12-31 00:00:00,47.22,50.75,43.31,54.58,466280.15336337965,23034688.23527992,18268.0
221,2017-12-30 00:00:00,51.14,47.21,43.25,59.2,632392.3597748416,31764954.814023435,26823.0
222,2017-12-29 00:00:00,45.59,51.14,43.86,53.49,410721.8788291066,19928462.87193289,13297.0
223,2017-12-28 00:00:00,47.78,45.54,40.55,48.57,409811.05970350804,18517781.035661902,11263.0
224,2017-12-27 00:00:00,47.99,47.82,46.23,50.19,414283.8451499588,20129738.22689949,8743.0
225,2017-12-26 00:00:00,46.31,47.99,45.59,50.25,354512.32610055705,16952878.16211705,11138.0
226,2017-12-25 00:00:00,41.41,46.38,39.2,49.3,331591.9668532989,14611293.386940852,12859.0
227,2017-12-24 00:00:00,46.27,40.84,36.7,49.5,373235.49199362134,16122058.614963654,13529.0
228,2017-12-23 00:00:00,36.5,46.27,33.02,49.3,506694.4080723329,21648269.17462407,18721.0
229,2017-12-22 00:00:00,50.09,36.66,30.01,54.72,705608.8534276389,31745164.684722982,21295.0
230,2017-12-21 00:00:00,54.9,50.09,48.32,63.58,413404.9522450788,22958194.794220876,19161.0
231,2017-12-20 00:00:00,62.73,54.99,48.51,68.12,536689.3021793648,31399528.48101533,26276.0
232,2017-12-19 00:00:00,46.3,62.77,43.0,70.0,811394.3515397618,49201773.339334056,37504.0
233,2017-12-18 00:00:00,28.44,46.3,25.3,51.59,1093896.0454478357,41313857.60297465,30925.0
234,2017-12-17 00:00:00,27.72,28.44,27.0,30.4,423741.4934483915,12063592.007097317,11326.0
235,2017-12-16 00:00:00,21.14,27.89,21.14,31.59,843983.1073906398,22998219.752527893,20270.0
236,2017-12-15 00:00:00,17.55,21.13,16.1,22.12,442735.79759232805,8387242.618410295,12191.0
237,2017-12-14 00:00:00,16.55,17.52,15.31,18.5,331126.234294844,5700722.11824547,8948.0
238,2017-12-13 00:00:00,13.48,16.57,13.3,25.0,592500.7281626253,9492304.76513016,14368.0
239,2017-12-12 00:00:00,11.71,13.47,11.71,17.0,161064.33557913944,2172776.3755119657,5762.0
